rank,d,k,ari_mean,ari_std,nmi_mean,nmi_std,silhouette,silhouette_std,davies_bouldin,db_std,max_cluster,size_ratio,explained_var,passes
1,16,11,0.537,0.133,0.85,0.045,0.306,0.053,0.96,0.11,5,1.25,76.1,YES
2,16,12,0.542,0.126,0.866,0.042,0.305,0.055,0.87,0.11,6,2.0,76.1,YES
3,16,10,0.492,0.14,0.818,0.053,0.304,0.055,1.06,0.11,9,2.25,76.1,NO
4,16,9,0.44,0.152,0.775,0.07,0.302,0.053,1.15,0.11,9,1.8,76.1,YES
5,16,13,0.526,0.143,0.871,0.041,0.295,0.056,0.8,0.11,6,2.0,76.1,YES
6,16,8,0.423,0.133,0.74,0.063,0.292,0.052,1.25,0.11,7,1.27,76.1,YES
7,16,14,0.628,0.129,0.914,0.03,0.287,0.055,0.72,0.1,4,1.33,76.1,YES
8,16,7,0.473,0.156,0.735,0.081,0.28,0.047,1.37,0.11,9,1.5,76.1,YES
9,16,15,0.603,0.133,0.913,0.03,0.278,0.057,0.65,0.09,5,1.67,76.1,YES
10,16,6,0.442,0.142,0.686,0.088,0.263,0.045,1.5,0.11,9,1.12,76.1,NO
11,24,11,0.487,0.15,0.828,0.048,0.25,0.051,1.06,0.12,6,1.5,88.7,YES
12,24,10,0.487,0.144,0.815,0.055,0.246,0.051,1.17,0.12,6,1.33,88.7,YES
13,24,12,0.538,0.126,0.864,0.039,0.246,0.05,0.97,0.11,6,1.5,88.7,YES
14,24,9,0.455,0.126,0.78,0.059,0.245,0.048,1.27,0.12,7,1.4,88.7,YES
15,24,13,0.583,0.133,0.887,0.036,0.243,0.05,0.88,0.11,5,1.67,88.7,YES
16,16,5,0.382,0.142,0.604,0.104,0.243,0.042,1.64,0.12,12,1.33,76.1,NO
17,24,14,0.495,0.147,0.877,0.038,0.241,0.048,0.81,0.11,6,2.0,88.7,YES
18,24,8,0.416,0.144,0.737,0.071,0.238,0.047,1.39,0.11,8,1.6,88.7,YES
19,24,15,0.54,0.145,0.898,0.032,0.236,0.05,0.73,0.1,5,1.67,88.7,YES
20,16,4,0.363,0.164,0.53,0.131,0.222,0.038,1.82,0.13,12,1.04,76.1,NO
21,24,7,0.415,0.132,0.701,0.074,0.222,0.046,1.52,0.12,11,1.83,88.7,NO
22,32,10,0.451,0.139,0.795,0.053,0.212,0.043,1.24,0.12,8,2.0,95.4,YES
23,32,11,0.476,0.134,0.827,0.046,0.211,0.044,1.12,0.11,6,1.5,95.4,YES
24,32,12,0.476,0.14,0.841,0.045,0.21,0.045,1.03,0.12,5,1.25,95.4,YES
25,32,9,0.429,0.147,0.768,0.064,0.21,0.043,1.35,0.12,7,1.4,95.4,YES
26,32,13,0.519,0.148,0.868,0.04,0.21,0.045,0.94,0.11,5,1.25,95.4,YES
27,24,6,0.442,0.144,0.692,0.089,0.209,0.044,1.67,0.12,13,2.0,88.7,NO
28,32,14,0.507,0.144,0.876,0.039,0.206,0.047,0.86,0.11,5,1.67,95.4,YES
29,32,15,0.586,0.135,0.909,0.032,0.205,0.046,0.78,0.11,5,1.67,95.4,YES
30,32,8,0.41,0.141,0.73,0.068,0.204,0.043,1.47,0.12,7,1.17,95.4,NO
31,16,3,0.394,0.208,0.49,0.174,0.201,0.035,2.06,0.15,17,1.21,76.1,NO
32,24,5,0.417,0.145,0.625,0.101,0.191,0.037,1.82,0.12,12,1.33,88.7,NO
33,32,7,0.431,0.13,0.716,0.072,0.191,0.04,1.61,0.11,8,1.33,95.4,NO
34,43,10,0.482,0.152,0.811,0.058,0.187,0.039,1.29,0.12,6,1.2,100.0,NO
35,43,9,0.476,0.137,0.79,0.057,0.186,0.039,1.39,0.12,8,1.6,100.0,NO
36,43,11,0.43,0.135,0.811,0.046,0.185,0.038,1.17,0.11,6,1.5,100.0,NO
37,32,6,0.427,0.152,0.678,0.091,0.185,0.037,1.74,0.11,12,1.71,95.4,NO
38,43,12,0.538,0.133,0.862,0.041,0.182,0.039,1.07,0.12,6,1.5,100.0,NO
39,43,8,0.453,0.151,0.752,0.073,0.18,0.039,1.52,0.11,8,1.45,100.0,NO
40,24,4,0.423,0.162,0.584,0.123,0.179,0.034,2.01,0.14,14,1.27,88.7,NO
41,43,13,0.488,0.14,0.86,0.041,0.178,0.041,0.98,0.11,6,1.5,100.0,NO
42,43,14,0.521,0.146,0.881,0.037,0.173,0.04,0.9,0.12,5,1.67,100.0,NO
43,43,7,0.44,0.137,0.72,0.076,0.172,0.037,1.65,0.12,9,1.5,100.0,NO
44,43,15,0.567,0.139,0.903,0.033,0.169,0.039,0.82,0.11,5,1.67,100.0,NO
45,43,6,0.402,0.132,0.668,0.082,0.168,0.035,1.79,0.11,9,1.12,100.0,NO
46,32,5,0.423,0.149,0.619,0.101,0.168,0.032,1.92,0.12,11,1.22,95.4,NO
47,24,3,0.335,0.214,0.433,0.176,0.164,0.03,2.25,0.16,21,1.31,88.7,NO
48,32,4,0.425,0.151,0.582,0.116,0.158,0.032,2.11,0.13,14,1.27,95.4,NO
49,43,5,0.412,0.141,0.613,0.101,0.155,0.029,1.97,0.12,11,1.38,100.0,NO
50,32,3,0.311,0.183,0.424,0.152,0.147,0.029,2.35,0.16,20,1.33,95.4,NO
51,43,4,0.362,0.153,0.532,0.124,0.145,0.028,2.17,0.13,15,1.5,100.0,NO
52,43,3,0.31,0.201,0.426,0.164,0.136,0.027,2.43,0.16,19,1.12,100.0,NO
